"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 13:39:08 CEST 2022","Tue May 31 13:39:08 CEST 2022","2","","Top Navigation should work","","Top Navigation should work","should click the Our Car option","should click the Our Car option",""
"passed","Tue May 31 15:35:52 CEST 2022","Tue May 31 15:35:54 CEST 2022","1982","","TC0008 - Main Page Element Verification - Decades Of Innovation Section","","TC0008 - Main Page Element Verification - Decades Of Innovation Section","should show and verify the decades of innovation section title and description","should show and verify the decades of innovation section title and description",""
"broken","Mon May 30 20:04:24 CEST 2022","Mon May 30 20:04:26 CEST 2022","1826","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","""before each"" hook for TC0006 - Main Page Element Verification - Icon Callouts","""before each"" hook for TC0006 - Main Page Element Verification - Icon Callouts",""
"failed","Tue May 31 21:13:42 CEST 2022","Tue May 31 21:13:53 CEST 2022","11555","","TC0002 - Top Navigation Bar verfiy and click","","TC0002 - Top Navigation Bar verfiy and click","should click the Our Car option","should click the Our Car option",""
"passed","Tue May 31 13:43:48 CEST 2022","Tue May 31 13:43:48 CEST 2022","804","","TC0001 - Main Page Loading and Cookie Container Verification","","TC0001 - Main Page Loading and Cookie Container Verification","should show and verify text statement below video","should show and verify text statement below video",""
"passed","Tue May 31 13:43:43 CEST 2022","Tue May 31 13:43:45 CEST 2022","1344","","TC0001 - Main Page Loading and Cookie Container Verification","","TC0001 - Main Page Loading and Cookie Container Verification","It should verify url and title","It should verify url and title",""
"passed","Tue May 31 21:18:21 CEST 2022","Tue May 31 21:18:23 CEST 2022","2033","","TC0001 - Home Page Loading and Cookie Verification","","TC0001 - Home Page Loading and Cookie Verification","should show and verify the model intro header and text","should show and verify the model intro header and text",""
"passed","Tue May 31 13:43:45 CEST 2022","Tue May 31 13:43:46 CEST 2022","882","","TC0001 - Main Page Loading and Cookie Container Verification","","TC0001 - Main Page Loading and Cookie Container Verification","should show the cookies container and accept all cookies","should show the cookies container and accept all cookies",""
"passed","Tue May 31 13:43:46 CEST 2022","Tue May 31 13:43:48 CEST 2022","1957","","TC0001 - Main Page Loading and Cookie Container Verification","","TC0001 - Main Page Loading and Cookie Container Verification","should show and verify the model intro header and text","should show and verify the model intro header and text",""
"passed","Tue May 31 13:39:03 CEST 2022","Tue May 31 13:39:14 CEST 2022","11296","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","should show and verify the highway pilot icon callouts icon visibility, title value, and text value","should show and verify the highway pilot icon callouts icon visibility, title value, and text value",""
"broken","Tue May 31 13:39:08 CEST 2022","Tue May 31 13:39:08 CEST 2022","1","","Top Navigation should work","","Top Navigation should work","should click the Menu option","should click the Menu option",""
"passed","Tue May 31 21:18:35 CEST 2022","Tue May 31 21:18:46 CEST 2022","10979","","TC0004 - Decades Of Innovation Section Verfication","","TC0004 - Decades Of Innovation Section Verfication","should show and verify the decades of innovation section image","should show and verify the decades of innovation section image",""
"passed","Tue May 31 21:19:07 CEST 2022","Tue May 31 21:19:18 CEST 2022","10993","","TC0004 - Car Safety Options Verification","","TC0004 - Car Safety Options Verification","should show and verify the icon callouts footer","should show and verify the icon callouts footer",""
"passed","Tue May 31 21:18:15 CEST 2022","Tue May 31 21:18:18 CEST 2022","3119","","TC0001 - Home Page Loading and Cookie Verification","","TC0001 - Home Page Loading and Cookie Verification","It should verify url and title","It should verify url and title",""
"passed","Tue May 31 21:18:14 CEST 2022","Tue May 31 21:18:21 CEST 2022","6664","","TC0004 - Decades Of Innovation Section Verfication","","TC0004 - Decades Of Innovation Section Verfication","should show and verify the decades of innovation section title and description","should show and verify the decades of innovation section title and description",""
"passed","Tue May 31 15:36:06 CEST 2022","Tue May 31 15:36:17 CEST 2022","10931","","TC0008 - Main Page Element Verification - Decades Of Innovation Section","","TC0008 - Main Page Element Verification - Decades Of Innovation Section","should show and verify the decades of innovation section image","should show and verify the decades of innovation section image",""
"passed","Tue May 31 20:56:25 CEST 2022","Tue May 31 20:56:40 CEST 2022","14740","","TC0005 - Decades Of Innovation Section Verfication","","TC0005 - Decades Of Innovation Section Verfication","should show and verify the decades of innovation section learn more button","should show and verify the decades of innovation section learn more button",""
"passed","Tue May 31 20:56:17 CEST 2022","Tue May 31 20:56:25 CEST 2022","7894","","TC0005 - Decades Of Innovation Section Verfication","","TC0005 - Decades Of Innovation Section Verfication","should show and verify the decades of innovation section title and description","should show and verify the decades of innovation section title and description",""
"passed","Tue May 31 21:18:14 CEST 2022","Tue May 31 21:18:21 CEST 2022","6536","","TC0004 - Car Safety Options Verification","","TC0004 - Car Safety Options Verification","should show and verify the speed cap icon visibility, title value, and text value","should show and verify the speed cap icon visibility, title value, and text value",""
